feature,importance
num__hous_val_amt,0.23980127
num__grade,0.20965362
num__education_index,0.18407966
num__sqft_living,0.11117201
num__lat,0.05485729
num__view,0.041325748
num__waterfront,0.039756097
num__sqft_living15,0.01082481
num__per_farm,0.008495157
num__yr_built,0.007278344
num__geo_cluster,0.0071887476
num__condition,0.006931488
num__urban_density,0.0063426695
num__sqft_above,0.005932773
num__sqft_lot,0.005388615
num__long,0.0050874352
num__non_farm_qty,0.004692351
num__bathrooms,0.0039630677
num__farm_ppltn_qty,0.0038537472
num__edctn_9_12_qty,0.0037591914
num__medn_hshld_incm_amt,0.0034410255
num__is_renovated,0.0034352886
num__years_since_renovation,0.0032726368
num__sqft_lot15,0.0031468594
num__edctn_less_than_9_qty,0.0030904377
num__per_urbn,0.0029754434
num__edctn_prfsnl_qty,0.0029656095
num__per_9_to_12,0.0028923827
num__per_assoc,0.0023423815
num__lot_to_living_ratio,0.0021332402
num__per_some_clg,0.0019514791
num__basement_ratio,0.0019285894
num__per_non_farm,0.0018467669
num__floors,0.0015983904
num__sbrbn_ppltn_qty,0.0013971425
num__bedrooms,0.0011980536
num__per_sbrbn,0.0
